transcript,wav_filename,duration
though the aurora still flamed another day had begun,./real_batch/wav/23yipikaye-20100807-ujm-b0316.wav,6.75
he did not believe in the burning of daylight for such a luxury,./real_batch/wav/23yipikaye-20100807-ujm-b0317.wav,7.125
daylight was tired profoundly tired,./real_batch/wav/23yipikaye-20100807-ujm-b0319.wav,6.25
instead he arrived on the night of the second day,./real_batch/wav/23yipikaye-20100807-ujm-b0321.wav,5.25
bassett was a fastidious man,./real_batch/wav/2old2play-20110606-hcn-a0296.wav,4.0
theres a big english general right now whose name is roberts,./real_batch/wav/2old2play-20110606-hcn-a0297.wav,5.625
his voice was passionately rebellious,./real_batch/wav/2old2play-20110606-wlt-a0235.wav,4.0
dont you see i hate you,./real_batch/wav/2old2play-20110606-wlt-a0236.wav,3.75
he cried in such genuine dismay that she broke into hearty laughter,./real_batch/wav/2old2play-20110606-wlt-a0239.wav,5.875
i think its much nicer to quarrel,./real_batch/wav/2old2play-20110606-wlt-a0241.wav,3.5
i saw it when she rolled,./real_batch/wav/2old2play-20110606-wlt-a0242.wav,3.625
harrison is still my chauffeur,./real_batch/wav/314piwm-20130617-xuo-b0245.wav,4.125
they must have been swept away by the chaotic currents,./real_batch/wav/314piwm-20130617-xuo-b0251.wav,5.25
it resembled tea less than lager beer resembles champagne,./real_batch/wav/314piwm-20130617-xuo-b0252.wav,5.75
peace be unto you and grace before the lord,./real_batch/wav/aaa-20150128-fak-a0559.wav,6.5
bill lingered contemplating his work with artistic appreciation,./real_batch/wav/aaa-20150128-fak-a0561.wav,9.75
what the flaming,./real_batch/wav/aaa-20150128-fak-a0562.wav,4.5
mrs mcfees jaws brought together with a snap,./real_batch/wav/aaa-20150128-fak-a0563.wav,6.25
then it is as i said womble announced with finality,./real_batch/wav/aaa-20150128-fak-a0564.wav,6.875
with them were indians also three other men,./real_batch/wav/aaa-20150128-fak-a0565.wav,5.375
but a strange thing happened,./real_batch/wav/aahz-20100418-xhv-a0195.wav,3.75
sometimes her dreams were filled with visions,./real_batch/wav/aahz-20100418-xhv-a0198.wav,4.5
he leapt again and the club caught him once more,./real_batch/wav/aahz-20100418-xhv-a0200.wav,4.625
he cried and swung the club wildly,./real_batch/wav/aahz-20100418-xhv-a0201.wav,4.5
his slim hands gripped the edges of the table,./real_batch/wav/Aaron-20080318-kdl-b0019.wav,3.4986875
he made no reply as he waited for whittemore to continue,./real_batch/wav/Aaron-20080318-kdl-b0020.wav,5.0346875
philip dropped back into his chair,./real_batch/wav/Aaron-20080318-kdl-b0021.wav,2.645375
if i was out of the game it would be easily made,./real_batch/wav/Aaron-20080318-kdl-b0022.wav,4.0106875
macdougall my engineer believes it,./real_batch/wav/Aaron-20080318-kdl-b0023.wav,3.584
it is growing every day every hour,./real_batch/wav/Aaron-20080318-kdl-b0024.wav,3.84
you have associated with some of these men,./real_batch/wav/Aaron-20080318-kdl-b0026.wav,3.413375
and theres no chivalry no quarter shown in this fight,./real_batch/wav/Aaron-20080318-kdl-b0027.wav,4.693375
her own betrayal of herself was like tonic to philip,./real_batch/wav/Aaron-20080318-lbb-a0044.wav,3.925375
he moved away as quietly as he had come,./real_batch/wav/Aaron-20080318-lbb-a0045.wav,4.5226875
the girl faced him her eyes shining with sudden fear,./real_batch/wav/Aaron-20080318-lbb-a0046.wav,5.2906875
close beside him gleamed the white fangs of the wolfdog,./real_batch/wav/Aaron-20080318-lbb-a0047.wav,4.437375
he looked at the handkerchief more closely,./real_batch/wav/Aaron-20080318-lbb-a0048.wav,4.2666875
i forgot how easily i had taught myself from the printed page,./real_batch/wav/Aaron-20080318-lbk-b0366.wav,4.352
any average young fellow can teach himself in a week,./real_batch/wav/Aaron-20080318-lbk-b0367.wav,4.096
please do not think that i already know it all,./real_batch/wav/Aaron-20080318-lbk-b0368.wav,3.328
you see we were teaching ourselves,./real_batch/wav/Aaron-20080318-lbk-b0369.wav,3.669375
yield yourself to the waters that are ripping and tearing at you,./real_batch/wav/Aaron-20080318-lbk-b0371.wav,4.608
mr mcveigh told me about him,./real_batch/wav/Aaron-20080318-lbk-b0372.wav,3.328
to say the least captain cook was a rather thorough going empiricist,./real_batch/wav/Aaron-20080318-lbk-b0374.wav,5.0346875
man could not conquer them,./real_batch/wav/Aaron-20080318-lbk-b0375.wav,2.901375
an altruistic act is an act performed for the welfare of others,./real_batch/wav/Aaron-20080318-liy-b0402.wav,5.12
how in hell did he know it was you in the dark,./real_batch/wav/Aaron-20080318-liy-b0406.wav,3.157375
the dirk mentioned by wolf larsen rested in its sheath on my hip,./real_batch/wav/Aaron-20080318-liy-b0409.wav,5.12
he gave no reason but his motive was obvious enough,./real_batch/wav/Aaron-20080318-liy-b0411.wav,4.2666875
theres not an iota of truth in it,./real_batch/wav/Aaron-20080318-ngh-b0346.wav,3.072
but ever his gaze returned to that crouched venus on the piano,./real_batch/wav/Aaron-20080318-ngh-b0347.wav,5.461375
in such a tumbling of values was no time to sell,./real_batch/wav/Aaron-20080318-ngh-b0349.wav,5.0346875
there was proper division of labor in the work they individually performed,./real_batch/wav/Aaron-20080318-ngh-b0355.wav,5.205375
the discovery seemed to have been made on the spur of the moment,./real_batch/wav/Aaron-20080318-pwn-a0265.wav,4.181375
they handled two men already both grubthieves,./real_batch/wav/Aaron-20080318-pwn-a0266.wav,4.096
eli harding asked as shunk started to follow,./real_batch/wav/Aaron-20080318-pwn-a0267.wav,3.84
thats where they cut off the scottish chiefs and killed all hands,./real_batch/wav/Aaron-20080318-pwn-a0269.wav,4.608
and after the bath a shave would not be bad,./real_batch/wav/Aaron-20080318-pwn-a0270.wav,3.7546875
now please give a plain statement of what occurred,./real_batch/wav/Aaron-20080318-pwn-a0271.wav,3.925375
you can take a vacation on pay,./real_batch/wav/Aaron-20080318-pwn-a0272.wav,3.4986875
stand off butcher and baker and all the rest,./real_batch/wav/Aaron-20130527-giy-b0350.wav,5.625
its that much junk,./real_batch/wav/Aaron-20130527-giy-b0354.wav,3.625
he loved to play chinese lottery,./real_batch/wav/Aaron-20130527-giy-b0356.wav,4.125
the law of club and fang,./real_batch/wav/Aaron-20130527-giy-b0357.wav,4.125
the temperature dropped to fifty below zero and remained there the whole trip,./real_batch/wav/Aaron-20130527-giy-b0358.wav,5.5
